0	1.947037E+07
0.001	1.945860E+07
0.002	1.943165E+07
0.003	1.939206E+07
0.004	1.934021E+07
0.005	1.927668E+07
0.006	1.920217E+07
0.007	1.911747E+07
0.008	1.902339E+07
0.009	1.892075E+07
0.01	1.881032E+07
0.011	1.869280E+07
0.012	1.856881E+07
0.013	1.843884E+07
0.014	1.830323E+07
0.015	1.816217E+07
0.016	1.801567E+07
0.017	1.786352E+07
0.018	1.770533E+07
0.019	1.754047E+07
0.02	1.736807E+07
0.021	1.718699E+07
0.022	1.699585E+07
0.023	1.679298E+07
0.024	1.657643E+07
0.025	1.634397E+07
0.026	1.609311E+07
0.027	1.582109E+07
0.028	1.552496E+07
0.029	1.520163E+07
0.03	1.484798E+07
0.031	1.446096E+07
0.032	1.403782E+07
0.033	1.357629E+07
0.034	1.307481E+07
0.035	1.253285E+07
0.036	1.195115E+07
0.037	1.133200E+07
0.038	1.067933E+07
0.039	9.998824E+06
0.04	9.297826E+06
0.041	8.585041E+06
0.042	7.870078E+06
0.043	7.163003E+06
0.044	6.473581E+06
0.045	5.810812E+06
0.046	5.182312E+06
0.047	4.594052E+06
0.048	4.050144E+06
0.049	3.552873E+06
0.05	3.102846E+06
0.051	2.699280E+06
0.052	2.340258E+06
0.053	2.023086E+06
0.054	1.744563E+06
0.055	1.501232E+06
0.056	1.289565E+06
0.057	1.106114E+06
0.058	9.475993E+05
0.059	8.109796E+05
0.06	6.934797E+05
0.061	5.925936E+05
0.062	5.060989E+05
0.063	4.320302E+05
0.064	3.686615E+05
0.065	3.144903E+05
0.066	2.682114E+05
0.067	2.286956E+05
0.068	1.949690E+05
0.069	1.661933E+05
0.07	1.416492E+05
0.071	1.207188E+05
0.072	1.028734E+05
0.073	8.766105E+04
0.074	7.469440E+04
0.075	6.364323E+04
0.076	5.422543E+04
0.077	4.619999E+04
0.078	3.936154E+04
0.079	3.353473E+04
0.08	2.857004E+04
0.081	2.434008E+04
0.082	2.073623E+04
0.083	1.766583E+04
0.084	1.504996E+04
0.085	1.282138E+04
0.086	1.092275E+04
0.087	9.305253E+03
0.088	7.927254E+03
0.089	6.753300E+03
0.09	5.753209E+03
0.091	4.901202E+03
0.092	4.175365E+03
0.093	3.557021E+03
0.094	3.030248E+03
0.095	2.581482E+03
0.096	2.199171E+03
0.097	1.873482E+03
0.098	1.596027E+03
0.099	1.359663E+03
0.1	1.158303E+03
0.101	9.867609E+02
0.102	8.406251E+02
0.103	7.161308E+02
0.104	6.100735E+02
0.105	5.197238E+02
0.106	4.427539E+02
0.107	3.771835E+02
0.108	3.213235E+02
0.109	2.737359E+02
0.11	2.331965E+02
0.111	1.986606E+02
0.112	1.692394E+02
0.113	1.441754E+02
0.114	1.228235E+02
0.115	1.046337E+02
0.116	8.913771E+01
0.117	7.593671E+01
0.118	6.469064E+01
0.119	5.511016E+01
0.12	4.694844E+01
0.121	3.999545E+01
0.122	3.407221E+01
0.123	2.902622E+01
0.124	2.472750E+01
0.125	2.106542E+01
0.126	1.794570E+01
0.127	1.528799E+01
0.128	1.302387E+01
0.129	1.109507E+01
0.13	9.451921E+00
0.131	8.052113E+00
0.132	6.859612E+00
0.133	5.843718E+00
0.134	4.978280E+00
0.135	4.241010E+00
0.136	3.612925E+00
0.137	3.077863E+00
0.138	2.622037E+00
0.139	2.233721E+00
0.14	1.902911E+00
0.141	1.621095E+00
0.142	1.381014E+00
0.143	1.176490E+00
0.144	1.002256E+00
0.145	8.538236E-01
0.146	7.273750E-01
0.147	6.196519E-01
0.148	5.278831E-01
0.149	4.497051E-01
0.15	3.831047E-01
0.151	3.263679E-01
0.152	2.780336E-01
0.153	2.368576E-01
0.154	2.017795E-01
0.155	1.718965E-01
0.156	1.464392E-01
0.157	1.247518E-01
0.158	1.062764E-01
0.159	9.053724E-02
0.16	7.712887E-02
0.161	6.570639E-02
0.162	5.597551E-02
0.163	4.768575E-02
0.164	4.062372E-02
0.165	3.460757E-02
0.166	2.948244E-02
0.167	2.511635E-02
0.168	2.139689E-02
0.169	1.822832E-02
0.17	1.552906E-02
0.171	1.322961E-02
0.172	1.127077E-02
0.173	9.602104E-03
0.174	8.180651E-03
0.175	6.969828E-03
0.176	5.938448E-03
0.177	5.059959E-03
0.178	4.311748E-03
0.179	3.674551E-03
0.18	3.131962E-03
0.181	2.670015E-03
0.182	2.276813E-03
0.183	1.942235E-03
0.184	1.657669E-03
0.185	1.415786E-03
0.186	1.210362E-03
0.187	1.036107E-03
0.188	8.885362E-04
0.189	7.638517E-04
0.19	6.588437E-04
0.191	5.708103E-04
0.192	4.974863E-04
0.193	4.369855E-04
0.194	3.877518E-04
0.195	3.485192E-04
0.196	3.182799E-04
0.197	2.962595E-04
0.198	2.819103E-04
0.199	2.748898E-04
